,PUBID8   ,REGION8  ,CENDIV8  ,SQFT8    ,SQFTC8   ,YRCONC8  ,PBA8     ,ELUSED8  ,NGUSED8  ,FKUSED8  ,PRUSED8  ,STUSED8  ,HWUSED8  ,ADJWT8   ,STRATUM8 ,PAIR8    ,ELHTBTU8 ,ELCLBTU8 ,ELVNBTU8 ,ELWTBTU8 ,ELLTBTU8 ,ELCKBTU8 ,ELRFBTU8 ,ELOFBTU8 ,ELPCBTU8 ,ELMSBTU8                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
4688,5577,1,2,10000,3,2,6,1,1,2,2.0,2,2,869.22,4,2,0.0,0.0,40019.0,26096.0,121673.0,0.0,0.0,0.0,0.0,122319.0
4689,5578,2,3,4500,2,6,1,1,1,2,2.0,2,2,1701.91,12,1,0.0,2596.0,229.0,0.0,37641.0,0.0,23572.0,0.0,679.0,9828.0
4690,5579,1,2,136000,7,1,2,1,2,2,2.0,2,1,43.0,107,1,0.0,121190.0,215654.0,10613.0,2137683.0,0.0,0.0,12938.0,46719.0,218325.0
4691,5580,1,2,75000,6,2,14,1,1,1,2.0,2,2,360.63,5,2,0.0,0.0,294567.0,0.0,151139.0,0.0,28755.0,7724.0,14706.0,38561.0
4692,5581,2,3,10000,3,8,5,1,1,2,2.0,2,2,2724.37,11,2,1677.0,272.0,868.0,0.0,26389.0,0.0,2672.0,381.0,490.0,3995.0
4693,5582,2,3,15500,4,6,2,1,1,2,2.0,2,2,780.38,14,2,0.0,31082.0,20996.0,0.0,328509.0,0.0,11108.0,11723.0,29243.0,54647.0
4694,5583,1,2,1600,2,3,26,1,1,2,2.0,2,2,2739.65,6,1,21599.0,5069.0,3756.0,0.0,40683.0,0.0,0.0,22.0,479.0,9867.0
4695,5584,3,5,1300,2,4,6,1,2,2,2.0,2,2,2314.83,25,2,4317.0,9519.0,795.0,1119.0,18641.0,5732.0,273996.0,507.0,0.0,5283.0
4696,5586,1,1,3800,2,3,5,1,1,1,2.0,2,2,2739.65,3,1,0.0,0.0,2726.0,0.0,25882.0,0.0,0.0,27.0,715.0,10526.0
4697,5592,3,6,6100,3,7,7,1,1,1,2.0,2,2,1769.43,29,1,0.0,23702.0,29152.0,0.0,128395.0,0.0,32522.0,0.0,2042.0,45953.0
4698,5593,1,2,205000,8,1,14,1,1,1,2.0,2,2,4.25,102,1,0.0,699657.0,1718100.0,131633.0,1205494.0,0.0,0.0,36735.0,154581.0,262574.0
4699,5594,3,5,4450,2,7,7,1,1,2,2.0,2,2,2314.83,25,2,7405.0,31888.0,25135.0,39336.0,66380.0,0.0,64574.0,10624.0,2822.0,66562.0
4700,5596,1,2,290000,8,1,2,1,2,1,2.0,2,2,46.81,82,1,0.0,587179.0,564319.0,263582.0,3559100.0,17285.0,100845.0,48910.0,812271.0,515660.0
4701,5597,1,1,1200,2,6,2,1,2,2,2.0,2,2,2803.0,2,2,12565.0,2171.0,327.0,78.0,29680.0,0.0,4264.0,2200.0,1199.0,1624.0
4702,5598,2,3,480000,8,4,16,1,1,1,2.0,2,2,12.35,125,2,0.0,2736268.0,8487491.0,0.0,28324493.0,241305.0,873426.0,790710.0,2647029.0,4654981.0
4703,5599,2,4,13750,4,2,25,1,1,2,2.0,2,2,363.08,17,1,3425.0,1804.0,8028.0,0.0,16060.0,0.0,0.0,70.0,0.0,12983.0
4704,5600,4,9,600000,9,2,2,1,1,1,2.0,2,2,5.32,42,2,18716.0,0.0,862594.0,69787.0,3838397.0,0.0,462157.0,173628.0,1148371.0,2444679.0
4705,5603,1,2,69000,6,5,2,1,1,2,2.0,2,2,80.53,6,1,0.0,100858.0,86273.0,0.0,244190.0,0.0,8886.0,21474.0,36170.0,97303.0
